text,author,published_at,like_count,clean_text,sentiment_score,sentiment_label
"TRUMP- A man who crowns himself king and calls it patriotism has already declared war on democracy. His fantasy fighter-pilot videos are pure idiocracy — delusion dressed as destiny while he bombs truth itself. America deserves a leader with a conscience, not a cartoon tyrant playing soldier while our nation burns.",@eviliswhereevilthinks9617,2025-10-23T11:42:50Z,0,trump man crowns king calls patriotism already declared war democracy fantasy fighter pilot videos pure idiocracy delusion dressed destiny bombs truth america deserves leader conscience cartoon tyrant playing soldier nation burns,-0.0516,Negatif
Bull$#!+...,@characters7568,2025-10-22T18:54:49Z,0,bull,0.0,Netral
"He was trying to make more money, come on Van!!!! We can be easily fooled",@krashidshak,2025-10-22T16:02:19Z,0,trying make money come van easily fooled,-0.0516,Negatif
What was the great message?,@krashidshak,2025-10-22T16:01:05Z,0,great message,0.6249,Positif
Van didnt want to go on charlies show because he didnt want to grow his platform. Lol Charlie was 1000x bigger than this fool.,@JackalKing223,2025-10-21T04:42:24Z,0,van didnt want charlies show didnt want grow platform lol charlie bigger fool,-0.1391,Negatif
But he DID kill that girl bc she was white…the killer said so in his own words.,@AMcDub0708,2025-10-20T05:04:20Z,0,kill girl whitethe killer said words,-0.875,Negatif
"There are PLENTY of videos proving otherwise, Chuckie was a terrible person.  Chuckles is dead for talking about the genocidal zionists so the IDF took him out.",@sephfyr,2025-10-19T19:57:17Z,0,plenty videos proving otherwise chuckie terrible person chuckles dead talking genocidal zionists idf took,-0.743,Negatif
"Why even debate a fascism-soft power is beyond me.
'Let them talk'....sure, what could possibly go wrong, right?
Well, Auschwitz didn't start as a concentration camp. It started with words.

The world does not need fascism, nor the people who empower it.",@marcoanonymous8434,2025-10-19T17:39:56Z,0,even debate fascism soft power beyond let talk sure could possibly wrong right well auschwitz start concentration camp started words world need fascism people empower,0.0772,Positif
Much respect for this!,@j.sun-the-rapper5489,2025-10-19T07:58:49Z,0,much respect,0.4767,Positif
People on both sides are not calling for civil war and murders.  Far left has become terrorism in America.,@g.willikers7712,2025-10-16T19:37:10Z,0,people sides calling civil war murders far left become terrorism america,-0.926,Negatif
🙄,@nycaight,2025-10-15T16:42:22Z,0,,0.0,Netral
Surprised Van didn’t cry about Charlie Kirk’s death,@MKane-j1b,2025-10-15T16:15:10Z,0,surprised van didnt cry charlie kirks death,-0.1144,Negatif
Charlie Kirk wanting to have you on says so much. Charlie Kirk is an abhorrent evil soul. May the world heal now that his poison removed from our society.,@MKane-j1b,2025-10-15T16:13:46Z,0,charlie kirk wanting says much charlie kirk abhorrent evil soul may world heal poison removed society,-0.9186,Negatif
CNN always tries to tell a one sided story. Van Jones is disgusting with his little Gaza baby stunt. He should never be allowed on air again,@MKane-j1b,2025-10-15T16:11:34Z,1,cnn always tries tell one sided story van jones disgusting little gaza baby stunt never allowed air,-0.5267,Negatif
Van jones gets paid to lie to you about israel the same people thaT HATE christians..they hate us. And van gets paid to shield israel,@Youneverknow100,2025-10-15T11:59:25Z,0,van jones gets paid lie israel people hate christians hate van gets paid shield israel,-0.8126,Negatif
F Van Jones and F the IDF,@achinoy,2025-10-15T06:43:30Z,0,van jones idf,0.0,Netral
"Van is a damn 🤡!!  Just because he tried to reach out, doesn’t make him good!!!  Van… you are an embarrassment!!  Ever since you got that free$$, you have been a different person!!  BYE😂",@marcybrown1578,2025-10-14T20:07:33Z,0,van damn tried reach doesnt make good van embarrassment ever since got free different person bye,-0.5583,Negatif
Charlie kirk is was a nazi,@sharkulashairstylist5505,2025-10-14T02:12:48Z,0,charlie kirk nazi,0.0,Netral
"And now we have Jay Jones inciting violence against Republicans.  
Talk about that please.  He should be immediately removed from the race for AG, charged and sentenced for incitement of violence.
This has to stop and holding people accountable is the ONLY way it will.",@James225,2025-10-12T12:49:32Z,1,jay jones inciting violence republicans talk please immediately removed race charged sentenced incitement violence stop holding people accountable way,-0.875,Negatif
I dont agree with Van on almost anything but he has my respect.,@H-Town_83,2025-10-11T22:31:56Z,0,dont agree van almost anything respect,0.1807,Positif
So maybe some of Kirk's supporters were afraid that Kirk was going to support peace instead of violence and thought he was going to become a threat to them?,@2wheelsr2wheels39,2025-10-11T21:39:36Z,0,maybe kirk supporters afraid kirk going support peace instead violence thought going become threat,0.1531,Positif
"Charlie Kirk was a jerk and valued nothing but himself. He had no empathy or sense of compassion in his speech. He only espoused things that cause a shutter and gut check; as if, there is no gut check for a gut check.. There is only the inner voice that says no, I do not agree. Charlie Kirk purposefully ignored his gut check and his death was a product of it. Facts are facts.",@steveng8251,2025-10-11T09:19:49Z,0,charlie kirk jerk valued nothing empathy sense compassion speech espoused things cause shutter gut check gut check gut check inner voice says agree charlie kirk purposefully ignored gut check death product facts facts,-0.6888,Negatif
"Van Jones is looking out for Van Jones after calling CK a ""31 y.o. kid"" on Maher. A fair-weather ""friend"" thru and thru.",@Bat-Twenty-Two,2025-10-11T09:15:03Z,0,van jones looking van jones calling kid maher fair weather friend thru thru,0.6705,Positif
Van Jones is a sold out with no soul,@thyemenia,2025-10-10T22:39:47Z,0,van jones sold soul,0.0,Netral
And now bondi is trying to use his death to silence us. Watch out yall.  Charlie wanted a snaller government,@brody231,2025-10-10T05:24:27Z,0,bondi trying use death silence watch yall charlie wanted snaller government,-0.5994,Negatif
"Jones is an A-hole!Charlie did not look at people-NO ONE  as A MORTAL enemy -so he is clueless and depicting him wrongly. !He is a liar and a faker!And the dude on the subway DID SAY ""I killed that WHITE girl"" so Char was right.CNN sucks and are biased ignorant  b.s.media...just like ours in Canada!",@BOBVICTORS6620,2025-10-09T21:50:52Z,0,jones hole charlie look people one mortal enemy clueless depicting wrongly liar faker dude subway say killed white girl char right cnn sucks biased ignorant media like canada,-0.9517,Negatif
I was hopeful watching this and than Van says.... we are seeing people calling for civil war on both sides. ... I dont see conservatives calling for civil war.,@maloryburkhalter6667,2025-10-09T11:15:41Z,0,hopeful watching van says seeing people calling civil war sides dont see conservatives calling civil war,-0.6705,Negatif
Van Jones is full of shit calling Charlie a hate monger days before his murder for pointing out the black guy that killed the girl on the train said “I got that white girl” three times in a row on video right after he did that. All Charlie did was accurately point out the left wing media wasn’t covering the story fully as it doesn’t fit the black people are victims and don’t kill white people. FBI stat said a black person is 26 times more likely to kill a white person than the other way around.,@Phoenix1981-q6t,2025-10-09T06:53:17Z,0,van jones full shit calling charlie hate monger days murder pointing black guy killed girl train said got white girl three times row video right charlie accurately point left wing media wasnt covering story fully doesnt fit black people victims dont kill white people fbi stat said black person times likely kill white person way around,-0.9289,Negatif
(Short) Charlie Kirk If someone were to murder..An eye for an eye..??? https://youtube.com/shorts/NgSkZkzajfA?si=9dm9Zaa4aal4izQK,@dr4391,2025-10-08T18:46:31Z,0,short charlie kirk someone murder eye eye https youtube com shorts ngskzkzajfa dmzaaaalizqk,-0.6908,Negatif
Please watch GIFTED HANDS. Dr. Ben Carson as an angry teen almost murdered a friend. PROVERBS studying the FOOL Vs the WISE in Bible for 3 hours CHANGED HIS LIFE. Went to Harvard but wife suggested he SKIP ALL CLASSES And just read. Brain Surgeon brilliant in Trump's cabinet. MUST WATCH!,@dr4391,2025-10-08T18:45:32Z,0,please watch gifted hands ben carson angry teen almost murdered friend proverbs studying fool wise bible hours changed life went harvard wife suggested skip classes read brain surgeon brilliant trump cabinet must watch,0.2058,Positif
dudes'  here (plural) have made a career disagreeing about facts. We have always had a choice about disagreeing agreeably.,@FeFiFoFumble,2025-10-08T09:30:24Z,0,dudes plural made career disagreeing facts always choice disagreeing agreeably,-0.296,Negatif
You should see the texts Candace has,@linden3363,2025-10-08T01:24:21Z,0,see texts candace,0.0,Netral
Van jones can’t beat anyone in a debate,@DJ13854,2025-10-08T00:18:16Z,0,van jones cant beat anyone debate,0.0,Netral
Trained liars,@davidclot8364,2025-10-07T15:59:02Z,0,trained liars,-0.5267,Negatif
Van Jones calls himself a civil rights advocate but also loves to joke about dead Palestinian babies. Hypocrisy knows no bounds.,@timothyrussell4445,2025-10-07T09:21:00Z,0,van jones calls civil rights advocate also loves joke dead palestinian babies hypocrisy knows bounds,0.1531,Positif
"Van said there's call's for violence on both sides , simply not true and he knows that. Republican's aren't killing people, burning police cars , rioting in the streets , attacking police officers and Ice officers who are just taking orders doin their job. The far left and especially the far left media need to tone  down their anti Trump rhetoric or things will only get worse not better. It was their rhetoric that got Charlie Kirk murdered .",@garylafreniere,2025-10-07T03:28:11Z,1,van said call violence sides simply true knows republican killing people burning police cars rioting streets attacking police officers ice officers taking orders doin job far left especially far left media need tone anti trump rhetoric things get worse better rhetoric got charlie kirk murdered,-0.9485,Negatif
I like Van Jones and appreciate his words on CNN wirgAnderson.,@150Florence,2025-10-07T00:47:40Z,0,like van jones appreciate words cnn wirganderson,0.6369,Positif
Dead babies are a legacy of van jones and cnn and netenyahu and not Iran,@NuwaherezaAllan-i9z,2025-10-06T22:59:23Z,0,dead babies legacy van jones cnn netenyahu iran,-0.6486,Negatif
"I wouldn’t believe that kirk would  have a civil dialogue with Jones.
It was just a coincidence,just an invite to his show after causing some traction.",@Dontstartnothing,2025-10-06T22:37:08Z,0,wouldnt believe kirk would civil dialogue jones coincidence invite show causing traction,0.1531,Positif
"I heard this man called Van Jones speaking about gaza children and babies been massacred in Palestine , then i thought , him been a man of colour , what would his soave ancestors say about it.",@yass1068,2025-10-06T20:34:22Z,0,heard man called van jones speaking gaza children babies massacred palestine thought man colour would soave ancestors say,0.0,Netral
Van Jones is a perfect example of the ADOS black liberals. They only care about racism as it applies to them. They have nothing but jokes when it comes to the Zionist terrorist regime's brutal apartheid colony in Palestine. Wherever you see one of these guys I guarantee there's footage of them at a Diddy party on a hard drive somewhere.,@worldadventuretravel,2025-10-06T20:26:05Z,1,van jones perfect example ados black liberals care racism applies nothing jokes comes zionist terrorist regime brutal apartheid colony palestine wherever see one guys guarantee footage diddy party hard drive somewhere,-0.6641,Negatif
I won't support CNN but props for speaking out about this.,@Daytonamike924,2025-10-06T19:52:14Z,0,support cnn props speaking,0.4019,Positif
https://youtu.be/pmADqgD9A1I?si=o8usvw1EtnDseR3y,@evangelineharper853,2025-10-06T19:03:15Z,0,https youtu pmadqgdai ousvwetndsery,0.0,Netral
Van Jones is a complete sellout who mocks dead babies - you are pure evil,@starnorth7620,2025-10-06T18:57:57Z,0,van jones complete sellout mocks dead babies pure evil,-0.9136,Negatif
"Put van jones in the back of the bus where he belongs, he shouldn’t be in a suit, he should be working the fields",@seandipaul8257,2025-10-06T17:15:43Z,0,put van jones back bus belongs shouldnt suit working fields,0.0,Netral
"""I love you like a hog love slop!""  Van, who paid you?  Go home child.",@serqetatun5461,2025-10-06T17:13:48Z,0,love like hog love slop van paid home child,0.8979,Positif
"If he was a real man he would be making a joke about seeing charlie kirk dead every time he scrolls tiktoks lol.
But unfortunately he’s so deep in the brainwashing stage it’s impossible looooooooooool",@seandipaul8257,2025-10-06T17:09:39Z,0,real man would making joke seeing charlie kirk dead every time scrolls tiktoks lol unfortunately hes deep brainwashing stage impossible looooooooooool,-0.6369,Negatif
What an evil look from van bones,@sheilaC61,2025-10-06T10:28:25Z,0,evil look van bones,-0.6597,Negatif
got any more jokes about dead babies? you complete monster.,@jj-uy6qs,2025-10-05T19:39:36Z,0,got jokes dead babies complete monster,-0.5106,Negatif
"Not a fan of VanJones by he gets props for this interview. Too bad he did not do it before Kirk’s assassination, maybe a few radical thoughts could have silenced. I would like to see VanJones give extra forethought to the words he speaks on his platform to assure they will not inspire any hateful responses to those you disagree with.",@smoky5833,2025-10-05T13:06:11Z,0,fan vanjones gets props interview bad kirks assassination maybe radical thoughts could silenced would like see vanjones give extra forethought words speaks platform assure inspire hateful responses disagree,-0.5106,Negatif
Everything is about clicks views subscribers and money 💰 💵.,@Kdnehfw,2025-10-05T02:21:11Z,0,everything clicks views subscribers money,0.0,Netral
"""Beefing""  ""argument "" ""fighting ""

Its called a debate mate. 
Con ver sat ion. How many on the left can do that like a grown ass adult..?  🤔  not many, the left see words as weapons.  Zero self control of their emotions and actions.  

Im glad this guy saw what Charlie kirk stood for, even if it was too late to have the conversation with kirk in the end.",@pisstoast2.0,2025-10-04T23:18:18Z,0,beefing argument fighting called debate mate con ver sat ion many left like grown ass adult many left see words weapons zero self control emotions actions glad guy saw charlie kirk stood even late conversation kirk end,-0.7096,Negatif
It's not a civil war that we need it's called a revolution! Our politicians are reporters new stations like you guys get paid millions of dollars to lie to us about Israel and other things.. so when that revolution starts we're coming after people like you bro people that got on TV and lied to the American people you guys are going to be on that list.. the left and right need to come together black and white need to come together all races all kinds of people need to come together and we need to fight against our government! Are government is corrupt by money in Israel and our politicians are in a pedophile ring from Epstein because of Israel all connected dude I'm not talking about the people of Israel I'm talking about their government.. Charlie Kirk opened a lot of people's eyes,@5demelo1daniel0,2025-10-04T00:31:00Z,0,civil war need called revolution politicians reporters new stations like guys get paid millions dollars lie israel things revolution starts coming people like bro people got lied american people guys going list left right need come together black white need come together races kinds people need come together need fight government government corrupt money israel politicians pedophile ring epstein israel connected dude talking people israel talking government charlie kirk opened lot people eyes,-0.6249,Negatif
“His mortal enemy” what?,@JoeyJoJoJrShabbado,2025-10-03T19:27:19Z,0,mortal enemy,-0.5423,Negatif
Wow CNN acting credible for a once,@JoeyJoJoJrShabbado,2025-10-03T19:26:40Z,0,wow cnn acting credible,0.5859,Positif
"We are allowing social media to turn us against one another. Don’t do it. It is making people crazy. Unite and and treasure are differences. My Mom always said, if we all like the same thing, there would not be enough to go around. Diversity contributes to innovation, but we have to draw the line when it comes to extreme behavior. Majority should always rule, because the majority is likely right. We should not change everything to cater to the one percent who want to identify as something different than what they are. We also need to get back to parenting our children rather than letting them go off in a tangent that is not good for them. Take them to church so they have someone to help them carry their burdens in this life. Our kids so many don’t have parents who parent and they have no relationship with God. This is why our kids are in such sad shape. They are either delinquent or mentally weak. I am not talking about all kids but about those that cause the problems particularly in our black communities. We all need to come together for the sake of the children and quit bickering about things that don’t really matter. Make sure your kids are in school and that the schools are teaching what will enable them to function in society. The problem is the parents and the school system and this is where the fix is. Congress just applies band-aides but the problem can only be fixed at the root. The root cause is people’s inability to parent and the failure of our school systems. Also, our children need a religious upbringing. It establishes a moral compass for them. I challenge everyone to unite in an endeavor to change this. Makes some freaking noise. Our black communities deserve better. Government assistance keeps them from striving for better.",@RJMCS101,2025-10-03T18:08:25Z,0,allowing social media turn one another dont making people crazy unite treasure differences mom always said like thing would enough around diversity contributes innovation draw line comes extreme behavior majority always rule majority likely right change everything cater one percent want identify something different also need get back parenting children rather letting tangent good take church someone help carry burdens life kids many dont parents parent relationship god kids sad shape either delinquent mentally weak talking kids cause problems particularly black communities need come together sake children quit bickering things dont really matter make sure kids school schools teaching enable function society problem parents school system fix congress applies band aides problem fixed root root cause peoples inability parent failure school systems also children need religious upbringing establishes moral compass challenge everyone unite endeavor change makes freaking noise black communities deserve better government assistance keeps striving better,-0.1757,Negatif
"The guy on the train was looking for a white person. Nothing can be clearer these days with the very skewed stats on blk on white murders. So lets just be honest. That said good of Van to come out. As far as civil war, some of these lunatic democrats already are and we just dont want to admit that yet.",@charlesb5007,2025-10-03T14:46:41Z,0,guy train looking white person nothing clearer days skewed stats blk white murders lets honest said good van come far civil war lunatic democrats already dont want admit yet,-0.7727,Negatif
Rubbish Kirk was a POS,@deanburrows8355,2025-10-03T08:08:46Z,0,rubbish kirk pos,0.0,Netral
Never heard of Van Jones. Will look him up.,@Menomeny1981,2025-10-03T05:38:30Z,1,never heard van jones look,0.0,Netral
"Hard part for Mr. Jones is... Mr. Kirk's supporters hate you enough to kill you IN HIS NAME, on principle. You can't wipe the Black off. After the conversation, you're still gonna look like that. Y'all can agree, disagree, be civil or not. The racist argument has always been: ""There' s something wrong with being Black."" It is often presented in the context of criminal acts or decadent behavior. The retort from well-meaning Black people and sympathizers is therefore something like ""Well not all of us, not all Black people...,"" because you need to disown and isolate the ""bad ones."" Guess what, you can't fight racism with words. You can only fight racism with anti-racist actions. Begin by physically, mentally and emotionally embracing your race the same way your opponent does his. Chant this until you believe it: ""There is nothing wrong with being Black. There is nothing WRONG with BEING Black."" Every single dark-skinned, nappy-headed, criminal-minded, lazy, thievin' n-word, big-butted, bad mf is also included. All Black people EVER are who we are talking about. Do white people carve out an exclusive space for Charles Manson or murderous John Brown when they repeat the 14 words or practice their Christian Nationalism? No, they don't. Stop debasing yourself by allowing someone else to characterize you as inherently deficient. Argue about the things you can do something about: paying for mental health care; paying for public safety; raising kids who feel supported by and attached to their communities; who gets to read actual history books; how the US economy works (for some and against others). The amount of melanin in your skin is not a topic for debate.",@uncleedd6878,2025-10-02T18:57:58Z,0,hard part jones kirk supporters hate enough kill name principle wipe black conversation still gon look like agree disagree civil racist argument always something wrong black often presented context criminal acts decadent behavior retort well meaning black people sympathizers therefore something like well black people need disown isolate bad ones guess fight racism words fight racism anti racist actions begin physically mentally emotionally embracing race way opponent chant believe nothing wrong black nothing wrong black every single dark skinned nappy headed criminal minded lazy thievin word big butted bad also included black people ever talking white people carve exclusive space charles manson murderous john brown repeat words practice christian nationalism stop debasing allowing someone else characterize inherently deficient argue things something paying mental health care paying public safety raising kids feel supported attached communities gets read actual history books economy works others amount melanin skin topic debate,-0.9944,Negatif
"Really? I take in a lot of news from many sources. I’m not hearing anybody calling for civil war or violence. I don’t know where you are hearing this unless it’s in the dark recesses of the right wing media.  Charlie was a white supremacist and hate monger. Nothing can change that fact. And hate leads to violence. 
Van Jones, you are a dreamer if you think you can “debate” a white supremacist.",@jeanniebrooks,2025-10-02T18:14:44Z,0,really take lot news many sources hearing anybody calling civil war violence dont know hearing unless dark recesses right wing media charlie white supremacist hate monger nothing change fact hate leads violence van jones dreamer think debate white supremacist,-0.9612,Negatif
Evil can be disguised  as truth with beautiful  lies. Its been that way since the garden . When Jesus comes  we shall know the truth.,@barbarabarlow1535,2025-10-02T16:33:42Z,0,evil disguised truth beautiful lies way since garden jesus comes shall know truth,-0.2023,Negatif
"I am so sick of this ass+)(*ing- it is obvio, like asking a dog if they want food or to go out- if it is wrong to kill anyone or to urge it on-in fact that is illegal.  He was still a person who read scripts he was given (just like they do everyday in the WH now- like a reality show) and wanted to house women (it is hilarious how MEN all are saying ""he just wanted freedom of speech""- sorry can't ""just agree to disagree"" about my health rights being taken away- it is not debatable.  And ANDERSON you owe kathy g. an apology Whitwalker.  Because we are human and you had a personal relationship w him Van Jones- my condolences.",@LevelLevelV,2025-10-02T16:30:29Z,0,sick ass ing obvio like asking dog want food wrong kill anyone urge fact illegal still person read scripts given like everyday like reality show wanted house women hilarious men saying wanted freedom speech sorry agree disagree health rights taken away debatable anderson owe kathy apology whitwalker human personal relationship van jones condolences,-0.6908,Negatif
Hey  van  give us a Break ITS  THESE RACIST white peoples  who is  calling  4. A civil war not  us BLACK STRONG peoples,@robinharris7883,2025-10-02T08:40:53Z,0,hey van give break racist white peoples calling civil war black strong peoples,-0.6808,Negatif
All the violence and censorship and putting people in boxes and separating people that’s coming from the Democrats and don’t forget the Democrats want it slavery and the Democrats won at the Black Crow laws. OK tell him to get educated.,@DatDude-p4x,2025-10-02T07:55:15Z,0,violence censorship putting people boxes separating people thats coming democrats dont forget democrats want slavery democrats black crow laws tell get educated,-0.8575,Negatif
Listen to how conceited he is dude Charlie Kirk was gonna build you up. He was gonna get way more followers and make way more money. He didn’t need you. You needed him.,@DatDude-p4x,2025-10-02T07:53:41Z,0,listen conceited dude charlie kirk gon build gon get way followers make way money didnt need needed,0.0,Netral
I wish that uncle Ben uncle Tom uncle nobody but even try to debate me I’ll make him look like a fool and I’m not saying anything. I don’t wanna make him look a fool. He’s gonna actually make himself look like a fool.,@DatDude-p4x,2025-10-02T07:51:23Z,0,wish uncle ben uncle tom uncle nobody even try debate ill make look like fool saying anything dont wan make look fool hes gon actually make look like fool,-0.5859,Negatif
